Country,Number of companies
China,168
United States of America,536
Sweden,6
Australia,6
United Kingdom,42
Bahamas,1
India,63
Indonesia,7
Germany,24
Hong Kong,6
Mexico,6
Estonia,2
Canada,19
Turkey,3
South Korea,12
Netherlands,6
Israel,20
France,24
Finland,3
Colombia,2
Belgium,3
Brazil,16
Denmark,2
Lithuania,1
Austria,2
Ireland,5
Singapore,12
Vietnam,2
United Arab Emirates,3
Switzerland,5
Argentina,1
Spain,3
Japan,6
Luxembourg,1
Nigeria,1
Philippines,2
Senegal,1
Malaysia,1
Bermuda,1
Norway,4
South Africa,2
Chile,2
Thailand,2
Czech Republic,1
Croatia,1
Italy,1